Month_Str,TAT_Bucket,Avg_Holds,Cases
2025-01,1-4 days,0.6442307692307693,104
2025-01,5-7 days,0.6065573770491803,61
2025-01,7+ days,0.627906976744186,43
2025-02,1-4 days,0.5217391304347826,92
2025-02,5-7 days,0.5178571428571429,56
2025-02,7+ days,0.5294117647058824,34
2025-03,1-4 days,0.5794392523364486,107
2025-03,5-7 days,0.4025974025974026,77
2025-03,7+ days,0.6470588235294118,34
2025-04,7+ days,0.5757575757575758,33
2025-04,1-4 days,0.5963302752293578,109
2025-04,5-7 days,0.5230769230769231,65
2025-05,1-4 days,0.5698924731182796,93
2025-05,5-7 days,0.6,75
2025-05,7+ days,0.8333333333333334,36
2025-06,7+ days,0.8064516129032258,31
2025-06,1-4 days,0.6454545454545455,110
2025-06,5-7 days,0.6909090909090909,55
2025-07,7+ days,0.4883720930232558,43
2025-07,1-4 days,0.4148936170212766,94
2025-07,5-7 days,0.609375,64
2025-08,1-4 days,0.5081967213114754,122
2025-08,5-7 days,0.6060606060606061,66
2025-08,7+ days,0.375,40
2025-09,1-4 days,0.5172413793103449,116
2025-09,5-7 days,0.515625,64
2025-09,7+ days,0.4583333333333333,24
2025-10,5-7 days,0.5,82
2025-10,1-4 days,0.42592592592592593,108
2025-10,7+ days,0.696969696969697,33
2025-11,1-4 days,0.5094339622641509,106
2025-11,5-7 days,0.3888888888888889,54
2025-11,7+ days,0.6,40
2025-12,5-7 days,0.49230769230769234,65
2025-12,7+ days,0.68,25
2025-12,1-4 days,0.5555555555555556,90
2026-01,5-7 days,0.0,2
