row_index,requestId,processId,Month_Str,TAT_Days,TAT_Bucket,Hold_Count,onHoldReasonDescription,Hold_Days
1,REQS4F8CGVYIE6I,PRCYKL1CQ99,2025-02,,,1.0,System issue retry later,60.625
7,REQV4YKADEJNOBB,PRCDN9UNFVO,2025-01,3.4166666666666665,1-4 days,2.0,Payment pending confirm receipt,1.7083333333333333
7,REQV4YKADEJNOBB,PRCDN9UNFVO,2025-01,3.4166666666666665,1-4 days,2.0,Payment pending confirm receipt,2.125
13,REQG983EP9P9W4J,PRCWSPOFV17,2025-02,,,2.0,Customer request waiting response,30.958333333333332
14,REQK0VM59M6MG87,PRC5JTB9XXA,2025-12,,,1.0,Unknown,0.08333333333333333
15,REQRS7GU0ENV5SN,PRC0KZ4Z7WH,2025-11,,,1.0,Unknown,1.75
20,REQPMLVAK9W9PFB,PRC3AYEQAHT,2025-04,,,2.0,Unknown,2.0416666666666665
20,REQPMLVAK9W9PFB,PRC3AYEQAHT,2025-04,,,2.0,Unknown,2.8333333333333335
24,REQARAGDX5O31YH,PRC2MAIETDN,2025-10,,,3.0,Payment pending confirm receipt,62.541666666666664
24,REQARAGDX5O31YH,PRC2MAIETDN,2025-10,,,3.0,Payment pending confirm receipt,30.958333333333332
24,REQARAGDX5O31YH,PRC2MAIETDN,2025-10,,,3.0,Payment pending confirm receipt,29.25
29,REQRVWY3RZTPLC6,PRCIH6MV4XE,2025-06,,,2.0,Unknown,30.5
29,REQRVWY3RZTPLC6,PRCIH6MV4XE,2025-06,,,2.0,Unknown,61.583333333333336
36,REQ48OLDC08FC0T,PRCZOW60ZZ0,2025-05,6.791666666666667,5-7 days,3.0,Customer request waiting response,29.958333333333332
36,REQ48OLDC08FC0T,PRCZOW60ZZ0,2025-05,6.791666666666667,5-7 days,3.0,Customer request waiting response,60.958333333333336
37,REQQZ6CP7SAVZEB,PRCN2OJGFHZ,2025-09,,,1.0,Missing documents customer to provide,1.2083333333333333
40,REQQFK6XW4EMM9V,PRC6BEDYEJH,2025-02,,,1.0,System issue retry later,1.375
42,REQKISETUK1OOA3,PRCLC0Y0BHF,2025-09,,,1.0,Missing documents customer to provide,1.0833333333333333
43,REQ79XBPH5CH3L1,PRCO075RE0D,2025-09,3.4166666666666665,1-4 days,1.0,Missing documents customer to provide,2.875
44,REQ3S2SUMH3B0N9,PRCSBRSPJ4K,2025-05,,,1.0,System issue retry later,62.208333333333336
45,REQ8XMOE545VYBJ,PRCBRHWBQH5,2025-10,,,3.0,Unknown,91.04166666666667
45,REQ8XMOE545VYBJ,PRCBRHWBQH5,2025-10,,,3.0,Unknown,30.791666666666668
45,REQ8XMOE545VYBJ,PRCBRHWBQH5,2025-10,,,3.0,Unknown,91.95833333333333
54,REQZKDU6FOTWFTQ,PRCNGAY37VG,2025-01,,,2.0,Underwriting questions review needed,2.125
