kpi_name,purpose,columns_used,logic_to_calculate,python_code_of_calculation
Aggregated Mean TAT,Track average turnaround time for completed cases in the filtered dataset.,TAT_Days,Take mean of TAT_Days after removing null values from filtered completed records.,mean_tat = tab1_completed['TAT_Days'].mean()
Total Number of Cases,Show total workload volume in current filters.,All filtered rows,Count total rows in filtered dataframe.,total_cases = len(tab1_df)
Total Cases MoM Change,Show month-over-month movement in case volume.,Month_Str,Compute count for latest month and compare with previous month count using absolute and percent change.,month_case_counts = filtered_df.dropna(subset=['Month_Str']).groupby('Month_Str').size().sort_index(); current_count = int(month_case_counts.iloc[-1]); prev_count = int(month_case_counts.iloc[-2]); abs_change = current_count - prev_count; pct_change = (abs_change / prev_count * 100) if prev_count else pd.NA
Open Cases,Show pending cases not yet completed.,completedDateTime,Count rows where completedDateTime is null.,open_cases = int(tab1_df['completedDateTime'].isna().sum())
Closed Cases,Show completed case volume.,completedDateTime,Count rows where completedDateTime is not null.,closed_cases = int(tab1_df['completedDateTime'].notna().sum())
Tat bucket distribution,Show overall bucket share composition for completed cases.,TAT_Bucket,Count cases by TAT bucket and convert each bucket count to percentage of completed cases.,"bucket_counts = tab1_completed['TAT_Bucket'].value_counts().reindex(bucket_order, fill_value=0); total_bucket_cases = int(bucket_counts.sum()); segment_df['Percentage'] = segment_df['Count'] / total_bucket_cases * 100"
TAT Bucket Distribution by Month,Show month-wise trend of bucket counts over time.,Month_Str|TAT_Bucket,Group completed data by month and TAT bucket and count rows.,"monthly_bucket = tab1_completed.dropna(subset=['Month_Str', 'TAT_Bucket']).groupby(['Month_Str', 'TAT_Bucket']).size().reset_index(name='Count').sort_values('Month_Str')"
7+ Day Cases,Show high turnaround workload volume.,TAT_Bucket,Filter completed rows where TAT_Bucket equals 7+ days then count rows.,high_tat = tab1_completed[tab1_completed['TAT_Bucket'] == '7+ days']; high_tat_cases = len(high_tat)
Max TAT in 7+ Day Cases,Highlight worst turnaround case in 7+ day bucket.,TAT_Days,Take maximum TAT_Days from filtered 7+ day cases.,max_tat_7plus = high_tat['TAT_Days'].max()
Avg Holds in 7+ Day Cases,Show average hold burden for high TAT cases.,Hold_Count,Take mean Hold_Count for 7+ day cases.,avg_holds_7plus = high_tat['Hold_Count'].mean()
Top 5 onHoldReasonDescription in 7+,Identify dominant hold reasons in high TAT cases with volume and mean TAT.,onHoldReasonDescription|PrimaryHoldReason|TAT_Days,Group by hold reason and compute Number_of_Cases and Avg_TAT_Days then sort by Number_of_Cases descending and take top 5.,"grouped = high_tat.assign(_group_val=high_tat[col_name].fillna('Unknown').astype(str).str.strip().replace('', 'Unknown')).groupby('_group_val').agg(Number_of_Cases=('TAT_Days', 'size'), Avg_TAT_Days=('TAT_Days', 'mean')).reset_index().sort_values('Number_of_Cases', ascending=False).head(5)"
Top 5 bgiDescription in 7+,Identify top BGI drivers in high TAT cases with volume and mean TAT.,bgiDescription|TAT_Days,Group by bgiDescription and compute Number_of_Cases and Avg_TAT_Days then sort by Number_of_Cases descending and take top 5.,"grouped = high_tat.assign(_group_val=high_tat[col_name].fillna('Unknown').astype(str).str.strip().replace('', 'Unknown')).groupby('_group_val').agg(Number_of_Cases=('TAT_Days', 'size'), Avg_TAT_Days=('TAT_Days', 'mean')).reset_index().sort_values('Number_of_Cases', ascending=False).head(5)"
Top 5 lineOfBusinessDescription in 7+,Show most frequent lines of business for high TAT cases.,lineOfBusinessDescription,Count lineOfBusinessDescription values and take top 5.,"top5_lob = high_tat['lineOfBusinessDescription'].fillna('Unknown').astype(str).str.strip().replace('', 'Unknown').value_counts().head(5)"
Top 5 AgentBrokerStateCode in 7+,Show top states contributing to high TAT cases.,AgentBrokerStateCode,Count AgentBrokerStateCode values and take top 5.,"top5_state = high_tat['AgentBrokerStateCode'].fillna('Unknown').astype(str).str.strip().replace('', 'Unknown').value_counts().head(5)"
Top 5 High TAT Cases,Expose most delayed cases for immediate action.,agentBrokerNum|TAT_Days|AgentBrokerStateCode,Sort 7+ day cases by TAT_Days descending and take first 5 rows.,"case_table = high_tat[show_cols].sort_values('TAT_Days', ascending=False).head(5)"
Total On-Hold Reason Occurrences,Measure total hold reason events captured in filtered dataset.,Hold_Reasons_List|Hold_Days_List,Explode reason-day pairs and sum event counts across all reasons.,total_reason_instances = int(reason_impact['Count'].sum()) if not reason_impact.empty else 0
Total Hold Days Added Taken,Measure cumulative hold time impact in days.,onHoldDatesHistory|offHoldDatesHistory|completedDateTime,Compute hold duration for each hold event and sum by reason then sum overall total.,total_hold_days = float(reason_impact['Total_Hold_Days'].sum()) if not reason_impact.empty else 0.0
Average Number of Holds Over Time by TAT Bucket,Track hold intensity trend by month and TAT bucket.,Month_Str|TAT_Bucket|Hold_Count|TAT_Days,Group by month and bucket and compute mean Hold_Count and case count.,"monthly_holds = completed_df.dropna(subset=['Month_Str', 'TAT_Bucket']).groupby(['Month_Str', 'TAT_Bucket']).agg(Avg_Holds=('Hold_Count', 'mean'), Cases=('TAT_Days', 'size')).reset_index().sort_values('Month_Str')"
Holds Distribution Heatmap,Visualize hold intensity matrix across month and TAT buckets.,Month_Str|TAT_Bucket|Avg_Holds,Pivot monthly_holds with rows as TAT_Bucket and columns as Month_Str and values as Avg_Holds.,"pivot = monthly_holds.pivot(index='TAT_Bucket', columns='Month_Str', values='Avg_Holds').reindex(['1-4 days', '5-7 days', '7+ days'])"
On-Hold Cases Hold Reason Distribution,Show most frequent hold reasons among on-hold cases.,Hold_Count|statusDescription|onHoldReasonDescription|PrimaryHoldReason,Create on-hold mask using Hold_Count > 0 or status contains hold then count reason values and take top 15.,"on_hold_mask = filtered_df['Hold_Count'] > 0; on_hold_mask = on_hold_mask | filtered_df[status_col].astype(str).str.contains('hold', case=False, na=False); top_reasons = top_counts(on_hold_cases, reason_col, top_n=15)"
Top Brokers Handling Cases,Highlight brokers with highest case volume in current filters.,AgentBrokerName|AgentBrokerName__2|agentBrokerNum,Count broker values and take top 10.,"top_brokers = top_counts(filtered_df, broker_name_col, top_n=10)"
Top accountAnalyst Taking 7+ TAT Days,Identify analysts most frequently associated with 7+ day cases.,accountAnalyst|accountAnalystName|TAT_Bucket,Filter 7+ day cases and count analyst values then take top 10.,"top_analyst = top_counts(high_tat, analyst_col, top_n=10)"
Top UnderWriter Taking 7+ TAT Days,Identify underwriters most frequently associated with 7+ day cases.,raterFullName|TAT_Bucket,Filter 7+ day cases and count raterFullName values then take top 10.,"top_rater = top_counts(high_tat, rater_col, top_n=10)"
Last Month Highest TAT Cases Top 5,List worst delayed cases in latest month for case-level follow up.,Month_Str|requestId|processId|AgentBrokerName|accountAnalyst|TAT_Days|TAT_Bucket,Pick latest month in completed data then sort by TAT_Days descending and take top 5.,"last_month = completed_df['Month_Str'].dropna().sort_values().iloc[-1]; high_tat_lm = completed_df[completed_df['Month_Str'] == last_month].sort_values('TAT_Days', ascending=False).head(5)"
