Month_Str,TAT_Bucket,Count
2025-01,1-4 days,104
2025-01,5-7 days,61
2025-01,7+ days,43
2025-02,1-4 days,92
2025-02,5-7 days,56
2025-02,7+ days,34
2025-03,1-4 days,107
2025-03,5-7 days,77
2025-03,7+ days,34
2025-04,7+ days,33
2025-04,1-4 days,109
2025-04,5-7 days,65
2025-05,1-4 days,93
2025-05,5-7 days,75
2025-05,7+ days,36
2025-06,7+ days,31
2025-06,1-4 days,110
2025-06,5-7 days,55
2025-07,7+ days,43
2025-07,1-4 days,94
2025-07,5-7 days,64
2025-08,1-4 days,122
2025-08,5-7 days,66
2025-08,7+ days,40
2025-09,1-4 days,116
2025-09,5-7 days,64
2025-09,7+ days,24
2025-10,5-7 days,82
2025-10,1-4 days,108
2025-10,7+ days,33
2025-11,1-4 days,106
2025-11,5-7 days,54
2025-11,7+ days,40
2025-12,5-7 days,65
2025-12,7+ days,25
2025-12,1-4 days,90
2026-01,5-7 days,2
